Question,Answer,Class,Profile,Profile_fr,Profile_ar,Class_fr,Class_ar,Question_fr,Question_ar,Answer_fr,Answer_ar
use card pay currency,"yes, the card is accepted for payment in any currency apart from those loaded on the card. no cross currency conversion charges will be applicable while processing such transactions. - exchange rate used will be the mastercard wholesale exchange rate prevailing at the time of the transaction. - exchange rate used will be the midrate prevailing at the time of the transaction.",cards,other,autres,أخرى,cartes,بطاقات,monnaie de paiement par carte d'utilisation,بدولارات الولايات المتحدة,"Oui, la carte est acceptée pour le paiement dans n'importe quelle monnaie en dehors de ceux chargés sur la carte. aucun frais de conversion de devises ne sera applicable pendant le traitement de ces transactions. - le taux de change utilisé sera le taux de change de gros de la carte maîtresse en vigueur au moment de la transaction. - le taux de change utilisé sera le taux médian en vigueur au moment de la transaction.",نعم، البطاقة مقبولة للدفع بأي عملة عدا تلك المحشوة على البطاقة ولن تطبق رسوم تحويل العملات عبر الحدود مع تجهيز هذه المعاملات. - سعر الصرف المستخدم هو سعر الصرف بالجملة السائد وقت المعاملة. - سعر الصرف المستخدم هو متوسط سعر الصرف السائد وقت المعاملة.
use dcc mcc option time transaction,"whenever regalia forexplus cardholder opts for dcc/mcc option on dcc/mcc enabled pos/atm terminals, his/her transaction passes through cross currency transactions twice. it is not advisable for a forexplus cardholder to opt for dcc/mcc while using forexplus card for making payments. please note that every cross currency transaction attracts currency conversion charges at applicable rates. apart from this, the cardholder will also get penalised due to fluctuation in currency conversion rate.",cards,back office operator,opérateur de back office,مشغل المكاتب,cartes,بطاقات,utiliser dcc mcc option time transaction,(ب) استخدام الوقت المحدد لخيار التراكمي,"chaque fois que regalia forexplus holder opte pour l'option dcc/mcc sur les terminaux dcc/mcc activés pos/atm, sa transaction passe deux fois par des transactions en devises croisées. il n'est pas conseillé pour un titulaire de carte forexplus d'opter pour dcc/mcc tout en utilisant la carte forexplus pour effectuer des paiements. Veuillez noter que chaque transaction de change attire des frais de conversion de devises aux taux applicables. En dehors de cela, le détenteur de la carte sera également pénalisé en raison des fluctuations du taux de conversion des devises.",وكلما اختارت &quot; regalia forexplus cardholder &quot; خيار &quot; dcc/mcc &amp; dcc &amp; mcc &quot; ، مكنت محطات طرفية من طراز &quot; pos/atm &quot; ، تمر معاملاته من خلال معاملات العملات العابرة مرتين. وليس من المستحسن أن يختار حامل بطاقات الإكسسقاط (Dcc)/mcc) في حين يستخدم بطاقة الإكسبلس لتقديم المدفوعات. يُرجى ملاحظة أن كل معاملة من المعاملات عبر العملات تجذب رسوم تحويل العملات بالمعدلات المنطبقة. وإلى جانب ذلك، سيعاقب حامل البطاقة أيضا بسبب تقلب أسعار تحويل العملات.
value card topped,"yes, your regalia forexplus card can be reloaded multiple times in future till the card gets expired. -existing bank customers can reload their regalia forexplus card through m&n bank netbanking / mobile banking by selecting reload forex card under the option of cards tab. -alternatively, existing customers can also place in a request to reload the card through m&n bank phone banking service or prepaid netbanking.",cards,other,autres,أخرى,cartes,بطاقات,carte de valeur surmontée,بطاقة القيمة,"oui, votre carte regalia forexplus peut être rechargée plusieurs fois jusqu'à l'expiration de la carte. -les clients bancaires existants peuvent recharger leur carte regalia forexplus par l'intermédiaire de la banque m&n netbanking / mobile banking en sélectionnant la carte reload forex sous l'onglet cartes. - d'autre part, les clients actuels peuvent aussi demander de recharger la carte par le biais d'un service bancaire par téléphone bancaire ou d'une banque nette prépayée.",نعم، بطاقة اعادة الجماع الخاص بك لاكسبلوس يمكن أن يعاد تحميل عدة مرات في المستقبل حتى تنتهي البطاقة. - يمكن للزبائن المصرفيين الحاليين أن يعيدوا تحميل بطاقة إعادة جمعهم من أجل الحصول عليها من خلال مصارف مصرفية متنقلة/مصرفية من خلال اختيار بطاقات إعادة تحميل من أجل الجنس في إطار خيار حساب البطاقات. - وبطبيعة الحال، يمكن أيضا للزبائن الحاليين أن يضعوا في طلب لإعادة تحميل البطاقة من خلال خدمة مصرفية هاتفية مصرفية من طراز mn أو مصرفية صافية مدفوعة سلفا.
need activate regalia forexplus card ecommerce transaction,your regalia forexplus card is pre-activated to perform ecommerce transactions once your card is loaded with the forex currency required.,cards,back office operator,opérateur de back office,مشغل المكاتب,cartes,بطاقات,besoin d'activer regalia forexplus carte ecommerce transaction,:: الحاجة إلى تشغيل نظام اعادة التجميع من أجل التعامل مع البطاقات الإيكولوجية,votre carte regalia forexplus est pré-activée pour effectuer des transactions e-commerce une fois votre carte chargée avec la devise forex requise.,بطاقتك الجاهزة للتكفير تم تفعيلها مسبقاً لتقوم بمعاملات التجارة البيئية بمجرد أن يتم تحميل بطاقتك بالعملة التافهة المطلوبة
secure making payment regalia forexplus card,much more secure than carrying cash. regalia forexplus card uses the same secure technology as chip & pin so you can feel totally confident when you are using it to pay. our technology uses the chip on your card to generate unique cryptograms and digital signatures to protect your payments.,cards,other,autres,أخرى,cartes,بطاقات,sécurisation du paiement regalia forexplus card,ضمان دفع مبلغ من جديد مقابل بطاقة التصدير,beaucoup plus sûr que de transporter de l'argent. regalia forexplus card utilise la même technologie sécurisée que la puce & pin afin que vous puissiez vous sentir totalement confiant lorsque vous l'utilisez pour payer. Notre technologie utilise la puce de votre carte pour générer des cryptogrammes uniques et des signatures numériques pour protéger vos paiements.,أكثر أمناً من حمل المال اعادة الجاليا من اجل الاكسبلوس تستخدم نفس التكنولوجيا المؤمنة مثل دبوس الرقاقة حتى تشعر بالثقة التامة عندما تستخدمها للدفع تكنولوجيانا تستخدم الرقاقة على بطاقتك لتوليد أشعة فريدة وتوقيعات رقمية لحماية مدفوعاتك
set prepaid netbanking login user password first time,"you may have received ipin or activation code in the kit provided to you. the activation code will be printed on the card mailer below the card whereas the ipin will be printed on the pin mailer along with atm pin. the activation code / ipin is required to set your netbanking password for your regalia forexplus card for the first time. following steps should be followed for setting netbanking user id / password for the first time using activation code / ipin: -visit m&n bank website and select prepaid netbanking -enter the card number in user id/card number field and the activation code / ipin (mentioned in the pin mailer) in the password field. -input user id of your choice for future login purpose -select the secret question from a dropdown menu and provide the answer -mention the new password and reconfirm the same -with the new user id and password, you can then login to access your card account",cards,other,autres,أخرى,cartes,بطاقات,définir prépayé netbanking login mot de passe utilisateur première fois,وضع كلمة مرور مجهزة بالمصاريف المدفوع مقدما لمستعملي الدخول,"vous avez peut-être reçu ipin ou code d'activation dans le kit qui vous a été fourni. le code d'activation sera imprimé sur l'expéditeur de la carte au-dessous de la carte tandis que l'ipin sera imprimé sur l'expéditeur de la pin avec la pin atm. le code d'activation / ipin est nécessaire pour définir votre mot de passe netbanking pour votre carte regalia forexplus pour la première fois. pour la première fois en utilisant le code d'activation / ipin: -visiter le site web de la banque m&n et sélectionner une banque nette prépayée - entrer le numéro de carte dans le champ numéro d'identification/carte de l'utilisateur et le code d'activation / ipin (mentionné dans l'expéditeur de pin) dans le champ mot de passe. -mettre l'identifiant utilisateur de votre choix à l'avenir - sélectionner la question secrète dans un menu déroulant et fournir la réponse -mentionner le nouveau mot de passe et reconfirmer le même -avec le nouvel identifiant utilisateur et le nouveau mot de passe, vous pouvez ensuite vous connecter pour accéder à votre compte de carte",ربما كنت قد حصلت على أيبين أو رمز تنشيط في المجموعة التي قدمت لك. سيطبع رمز التفعيل على بريد البطاقة أسفل البطاقة في حين سيطبع العنبر على مرسل الدبوس مع الدبوس رمز التنشيط / أيبين مطلوب لوضع كلمة السر المصرفي الصافي الخاص بك لبطاقة إعادة الجماع الخاصة بك لأول مرة. ينبغي اتباع الخطوات التالية من أجل وضع كلمة سر للمستعملين المصرفيين (د)/أو كلمة سر لأول مرة باستخدام رمز التنشيط/أيبين: - الاطلاع على موقع مصرفي على شبكة الإنترنت، واختيار مصاريف مصرفية مدفوعة مقدماً - أدخل رقم البطاقة في مجال رقم بطاقة المستخدمين ورمز التشغيل/الركيزة (المذكورة في البريد الإلكتروني) في مجال كلمة السر. المُستخدم المُستخدم الذي يُختار من أجل الغرض المُستقبلي - يَنقّبُ السؤالَ السريَ مِنْ قائمةِ الإنزالِ ويُقدّمُ الجوابَ -
use card contactless terminal,"1. look for mastercard paypass mark and contactless logo at the point of sale terminal machine at merchant outlet 2. check the transaction amount displayed on the machine screen and tap/ wave your contactless regalia forexplus card from a 4 cm range 3. enter your 4-digit atm pin on the machine, if prompted 4. a green light will signal indicating that the transaction is complete",cards,other,autres,أخرى,cartes,بطاقات,utiliser la carte sans contact terminal,محطة طرفية لاسلكية,"1. rechercher la marque Mastercard paypass et le logo sans contact au point de vente terminal machine à la sortie commerçante 2. vérifier le montant de la transaction affiché sur l'écran de la machine et tapoter / vaguer votre carte regalia forexplus sans contact à partir d'une plage de 4 cm 3. saisissez votre pin à 4 chiffres sur la machine, si demandé 4. un feu vert indiquera que la transaction est terminée","1. look for mastercard paypass mark and contactless logo at the point of sale terminal machine at merchant outlet 2. check the transaction amount displayed on the machine screen and tap/ wave your contactless regalia forexplus card from a 4 cm range 3. enter your 4-digit atmpin on the machine, if prompted 4 - وسيشير الضوء الأخضر إلى أن الصفقة كاملة"
know transaction successful,"you will receive a charge slip from the merchant, and also receive an emailer/ sms on registered contact details once the transaction is successful",cards,back office operator,opérateur de back office,مشغل المكاتب,cartes,بطاقات,connaître le succès de la transaction,معرفة نجاح الصفقة,"vous recevrez un bordereau de facturation du marchand, ainsi qu'un e-mail/sms sur les coordonnées enregistrées une fois la transaction réussie",ستتلقى شحنة من التاجر وستتلقى أيضاً بريداً إلكترونياً أو صوراً على تفاصيل الاتصال المسجلة حالما تنجح الصفقة
traveller still benefit regalia forexplus card,"the regalia forexplus card is only for travellers, and cannot be issued to non-travellers.",cards,other,autres,أخرى,cartes,بطاقات,voyageur bénéficie toujours regalia forexplus carte,المسافر ما زالَ يَدْفعُ regalia forexplus card,la carte regalia forexplus est réservée aux voyageurs et ne peut être délivrée aux non-voyageurs.,وبطاقة اعادة البيع هي فقط للمسافرين ولا يمكن إصدارها لغير المسافرين.
regalia forexplus card enabled mastercard secure pa,"yes, regalia forexplus card offered on mastercard platform are pre-enabled for mastercard secure pass that allows you to securely perform ecommerce transactions. following are the steps to perform ecommerce transaction with mastercard secure pass participating merchants: - select the goods or services you want from an online store and proceed to the payment page. - enter your regalia forexplus card number and the online store will connect with m&n bank to check whether your card is secured with mastercard secure pass. - to validate the transaction, you can either select to enter your prepaid netbanking password (used for login to prepaid netbanking) or select receiving otp (one time password) on your registered mobile number and m&n bank will then confirm your identity to the merchant. - your payment is authorized and your order is placed.",cards,other,autres,أخرى,cartes,بطاقات,carte Mastercard sécurisée avec carte regalia forexplus,بطاقة اعادة جاليا للاكس زائدا مكّنت بطاقة رئيسية من تأمين,"oui, regalia forexplus carte offerte sur la plate-forme Mastercard sont pré-enable pour Mastercard secure pass qui vous permet d'effectuer des transactions ecommerce en toute sécurité. Voici les étapes à suivre pour effectuer une transaction de commerce électronique avec les marchands participants à la carte maîtresse : - sélectionnez les biens ou services que vous voulez dans une boutique en ligne et passez à la page de paiement. - saisissez votre numéro de carte regalia forexplus et la boutique en ligne se connectera à la banque m&n pour vérifier si votre carte est sécurisée par carte Mastercard. - pour valider la transaction, vous pouvez choisir d'entrer votre mot de passe prépayé (utilisé pour vous connecter à une banque prépayée) ou de sélectionner la réception d'otp (un mot de passe unique) sur votre numéro de téléphone mobile enregistré et la banque m&n confirmera votre identité au marchand. - votre paiement est autorisé et votre commande est passée.",أجل، بطاقة اعادة الجماع من أجل التصدير المعروضة على منصة البطاقات الرئيسية جاهزة مسبقاً للحصول على بطاقة المرور المؤمنة التي تسمح لك بإجراء معاملات بيئية آمنة وفيما يلي الخطوات التي ينبغي اتخاذها لإجراء معاملات تجارية بيئية مع تجار بطاقات رئيسية مأمونة يشاركون فيها: - اختيار السلع أو الخدمات التي تريدونها من متجر على الإنترنت والبدء في صفحة الدفع. -ادخلوا إلى اعادة الاتصال رقم بطاقة البريد و المتجر على الانترنت سيتواصل مع بنك (ميلان) للتحقق مما إذا كانت بطاقتكم مؤمنة ببطاقة المضرب - للتحقق من الصفقة، يمكنك إما أن تختار دخول كلمتك السرية المصرفية المدفوعة مسبقاً (المستخدمة لقطع الدخول إلى مصرف صافي الدفع المسبق) أو اختيار الحصول على otp (كلمة مرور واحدة) على رقمك المتنقل المسجل ومصرف Mn سيؤكد هويتك للتاجر. -دفعك مأذون به و طلبك معروض
document submit purchase regalia forexplus card,"m&n bank savings / current account holders need to just submit completed application form and copy of self-attested valid passport (or any other documentation as mandated under prevalent lrs guidelines). if you don't have m&n bank savings / current account, you need to submit completed application form, copy of self-attested valid passport and copy of self-attested ticket or visa (or any other documentation as mandated under prevalent lrs guidelines).",cards,other,autres,أخرى,cartes,بطاقات,document soumettre achat regalia forexplus carte,تقديم وثيقة شراء لبطاقة التصدير,"Les détenteurs d'un compte courant ou d'une épargne bancaire doivent simplement soumettre un formulaire de demande dûment rempli et une copie du passeport valide auto-attesté (ou tout autre document prescrit en vertu des lignes directrices courantes). si vous n'avez pas d'épargne bancaire / compte courant, vous devez soumettre un formulaire de demande dûment rempli, une copie du passeport valide auto-attesté et une copie du billet ou visa auto-attesté (ou tout autre document prescrit en vertu des lignes directrices courantes).",(م) تحتاج مدخرات مصرفية/محاسبة حالية إلى تقديم استمارة طلب مكتملة ونسخة من جوازات سفر صالحة مثبتة ذاتياً (أو أي مستندات أخرى على النحو المنصوص عليه في المبادئ التوجيهية السائدة بشأن قوائم الجرد). إذا لم يكن لديك مدخرات مصرفية/حساب حالي، تحتاج إلى تقديم استمارة طلب كاملة، نسخة من جواز سفر مثبت ذاتيا ونسخة من تذكرة أو تأشيرة ذاتية الاختبار (أو أي وثائق أخرى حسب التكليف بموجب المبادئ التوجيهية السائدة لنظم السجلات).
dcc mcc stand,dcc stands for dynamic currency conversion whereas mcc stands for multiple currency conversion. dcc / mcc at atm / pos gives the cardholder an option to initiate a transaction in the currency of his choice. it also assists the cardholder to know the exact transaction value in the currency selected at the time of transaction.,cards,other,autres,أخرى,cartes,بطاقات,Dcc mcc stand,Dcc:,dcc représente la conversion dynamique des devises alors que mcc représente la conversion multiple des devises. dcc / mcc at atm / pos donne au détenteur de la carte la possibilité d'engager une transaction dans la monnaie de son choix. il aide également le détenteur de carte à connaître la valeur exacte de la transaction dans la monnaie sélectionnée au moment de la transaction.,(د ج) تمثل تحويلا ديناميا للعملة في حين أن م ت م ترمز إلى تحويل عملة متعددة. يُعطي حامل البطاقة خياراً للشروع في صفقة بعملة اختياره. كما أنه يساعد حامل البطاقة على معرفة قيمة المعاملات المحددة بالعملة المختارة وقت المعاملة.
already earn reward card,"if you register a reward card that already earns miles, points, or cash back, the rewards that you earn via thanks again will be awarded in addition to the rewards that you already may earn.",cards,other,autres,أخرى,cartes,بطاقات,déjà gagner une carte de récompense,بطاقة المكافأة,"si vous enregistrez une carte de récompense qui gagne déjà des miles, des points ou une remise en argent, les récompenses que vous gagnez par l'intermédiaire de remerciements à nouveau seront accordées en plus des récompenses que vous pouvez déjà gagner.",إذا سجلت بطاقة مكافأة تكسب بالفعل أميال أو نقاط أو نقوداً، المكافآت التي تكسبها عن طريق الشكر مرة أخرى ستمنح بالإضافة إلى المكافآت التي قد تكسبها بالفعل.
forget prepaid netbanking login password,"if you have forgotten the password, then the same can be changed by selecting the option of forgot password available on the prepaid netbanking login page.",cards,other,autres,أخرى,cartes,بطاقات,Oubliez le mot de passe de connexion netbanking prépayé,أنسي كلمة المرور الخاصة بشبكات النقل,"si vous avez oublié le mot de passe, alors la même chose peut être changée en sélectionnant l'option de mot de passe oublié disponible sur la page de connexion de netbanking prépayée.",إذا نسيت كلمة السر، ثم يمكن تغيير الشيء نفسه باختيار خيار كلمة السر المنسية المتاحة على صفحة الدخول المصرفية الصافية المدفوعة مسبقا.
maximum value card used,"there is no limit imposed on the usage of regalia forexplus card. you can withdraw/utilise any amount, upto the value loaded on regalia forexplus card at any atm/pos. however, there are some atms service providers which have put in per day / per transaction limit towards cash dispense which cannot be changed by the bank. in such cases the cardholder might need to do multiple transactions if he wants to withdraw any amount higher than that allowed in one transaction.",cards,other,autres,أخرى,cartes,بطاقات,carte de valeur maximale utilisée,بطاقة القيمة القصوى المستخدمة,"il n'existe aucune limite à l'utilisation de la carte regalia forexplus. vous pouvez retirer/utiliser n'importe quel montant, jusqu'à la valeur chargée sur la carte regalia forexplus à n'importe quel atm/pos. cependant, il y a des fournisseurs de services atms qui ont mis en place par jour / par transaction limite vers la distribution de cash qui ne peut pas être changé par la banque. Dans de tels cas, le titulaire de la carte pourrait devoir effectuer plusieurs opérations s'il veut retirer un montant supérieur à celui autorisé pour une opération.",وليس هناك حد مفروض على استخدام بطاقة &quot; regalia forexplus &quot; . ويمكنك سحب/استخدام أي مبلغ، حتى القيمة المحمّلة على بطاقة &quot; regalia forexplus &quot; في أي مكان، ومع ذلك، هناك بعض مقدمي خدمات الأتومات الذين وضعوا في اليوم/في كل حد للصفقات في اتجاه صرف نقدي لا يمكن أن يغيره المصرف. وفي هذه الحالات قد يحتاج حامل البطاقة إلى إجراء معاملات متعددة إذا أراد سحب أي مبلغ أعلى من المبلغ المسموح به في معاملة واحدة.
option choose withdraw cash atm,"generally, the options available at the atm for cash withdrawal are checking, credit, and savings. you should choose the checking/current option. in case the checking /current option is not available, you should select the credit option.",cards,other,autres,أخرى,cartes,بطاقات,option choisissez retirer l'argent comptant atm,خيار اختيار سحب النقود,"En général, les options disponibles à l'Atm pour le retrait d'espèces sont la vérification, le crédit et l'épargne. vous devriez choisir l'option de vérification/courant. dans le cas où l'option de vérification /current n'est pas disponible, vous devez sélectionner l'option de crédit.",وعموماً، فإن الخيارات المتاحة في الغرفة المخصصة للسحب النقدي هي التدقيق والائتمان والوفورات. يجب أن تختار الخيار الحالي في حالة عدم وجود خيار التدقيق/السري، يجب أن تختار خيار الائتمان.
contact card lost,"in case your card gets lost or stolen, all you have to do is call m&n bank phone banking immediately and report the loss of your card. this facility is available 24 hrs on all days. the card can also be hotlisted using our prepaid card netbanking facility on www.m&n bank.com",cards,other,autres,أخرى,cartes,بطاقات,carte de contact perdue,بطاقة الاتصال الضائعة,"au cas où votre carte serait perdue ou volée, tout ce que vous avez à faire est d'appeler la banque bancaire et de signaler la perte de votre carte. cette installation est disponible 24 heures sur 24. la carte peut également être chaudement cotée à l'aide de notre carte prépayée netbanking installation sur www.m&n banking.com",في حالة فقدان أو سرقة بطاقتك، كل ما عليك فعله هو الاتصال بشركة الهاتف المصرفي This facility is available 24 hrs on all days. ويمكن أيضا الحصول على البطاقة من القائمة الساخنة باستخدام مرفقنا المسبق لصرف البطاقات المدفوعة على الموقع www.mun bank.com.
use emonies neft foreign remittance,this is a service designed only for remitting indian rupees within india.,fundstransfer,other,autres,أخرى,transfert de fonds,الأموال المنقولة,utiliser des emonies neft remise à l'étranger,تحويلات أجنبية,il s'agit d'un service conçu uniquement pour les roupies indiennes en Inde.,هذه خدمة مصممة فقط لنقل الروبيات الهندية داخل الهند
emonies neft system better existing rbieft system,"e-monies neft has no restrictions, because itatms based on a centralized network. thatatms not the case for the rbi-eft system, which is confined to just 15 centres.",fundstransfer,other,autres,أخرى,transfert de fonds,الأموال المنقولة,emonies neft système mieux existant rbieft système,نظام &quot; نايف &quot; (eft),"e-monies ne possède aucune restriction, car les itatismes basés sur un réseau centralisé. Ce n'est pas le cas pour le système rbi-efft, qui est limité à seulement 15 centres.",ليس للسرقة الإلكترونية أي قيود، لأنّها ترتكز على شبكة مركزية. وليس هذا هو الحال بالنسبة لنظام &quot; روبي - فات &quot; الذي يقتصر على 15 مركزا فقط.
information required use emonies neft service,"to use this service, you should provide the beneficiary details (name and account number), and the name and ifsc of the beneficiary bank branch.",fundstransfer,other,autres,أخرى,transfert de fonds,الأموال المنقولة,informations requises utiliser emonies neft service,المعلومات المطلوبة,"Pour utiliser ce service, vous devez fournir les coordonnées du bénéficiaire (nom et numéro de compte), ainsi que le nom et l'ifsc de la succursale bancaire bénéficiaire.",وبغية استخدام هذه الخدمة، ينبغي أن تقدموا تفاصيل المستفيدين (الاسم ورقم الحساب) واسم فرع المصرف المستفيد واسمه.
money credited beneficiaryatms account using emonies neft service get back,your funds will be returned to your account if they are not credited.,fundstransfer,loan officer,agent de prêt,موظف قروض,transfert de fonds,الأموال المنقولة,compte de bénéficiaire crédité en utilisant emonies neft service récupérer,حساب المستفيدين المقيدين بخدمة الجنين,vos fonds seront retournés à votre compte s'ils ne sont pas crédités.,أموالك ستُعاد إلى حسابك إذا لم تُقيد
emonies neft service differ rgts eft,"e-monies neft is an electronic payment system, used to transfer funds to any part of india. it works on a net settlementatm, unlike rtgs that works on a gross settlementatm, and eft which is restricted to only 15 centres.",fundstransfer,other,autres,أخرى,transfert de fonds,الأموال المنقولة,emonies neft service différent rgts eft,خدمة الرفع تختلف عن السطو,"e-monies neft est un système de paiement électronique, utilisé pour transférer des fonds à n'importe quelle partie de l'Inde. il travaille sur un net settlementatm, contrairement aux rtgs qui travaille sur un settlementatm brut, et eft qui est limité à seulement 15 centres.",والسرقة الإلكترونية هي نظام إلكتروني للدفع يستخدم لنقل الأموال إلى أي جزء من الهند. وهي تعمل على مستوطنة صافية، خلافا للأدوات التي تعمل على مستوطنة إجمالية، وسرقة تقتصر على 15 مركزا فقط.
charge emonies national electronic fund transfer service,"neft transactions on netbanking are charged as below: amounts up to rs. 10,000 - rs.2.5 (exclusive of taxes) per transaction amounts from rs.10,001 to rs.1 lakh - rs. 5 (exclusive of taxes) per transaction amounts above rs. 1 lakh up to rs. 2 lakh - rs. 15 (exclusive of taxes) per transactionamounts above rs.2 lakh a rs.25 (exclusive of taxes) per transaction view more",fundstransfer,other,autres,أخرى,transfert de fonds,الأموال المنقولة,Service national de transfert électronique de fonds,خدمة تحويل الأموال الإلكترونية الوطنية,"Les opérations nettes sont facturées comme suit: montants jusqu'à rs. 10 000 - rs.2.5 (hors taxes) par transaction montants de rs.10,001 à rs.1 lakh - rs. 5 (hors taxes) par transaction montants supérieurs à rs. 1 lakh jusqu'à rs. 2 lakh - rs. 15 (hors taxes) par transactionmontants supérieurs à rs.2 lakh a rs.25 (hors taxes) par transaction voir plus",وتُحمَّل معاملات السرقة المتعلقة بالمصاريف المصرفية على النحو التالي: مبالغ تصل إلى صاف. 000 10 - rs.2.5 (باستثناء الضرائب) لكل معاملة تتراوح من 001 10 إلى 0.1 لاك - rs. 5 (باستثناء الضرائب) لكل معاملة تتجاوز قيمتها 1 لاخ إلى 2 لاخ - rs. 15 (باستثناء الضرائب) لكل معاملة تتجاوز rs.2 lakh a rs.25 (باستثناء الضرائب)
check ifsc receiving branch,just ask your beneficiary to get the ifsc from his or her branch. they can also find it in their cheque book - the ifsc is in the cheque leaf.,fundstransfer,branch manager,gestionnaire de succursale,مدير فرع,transfert de fonds,الأموال المنقولة,vérifier la branche de réception ifsc,تحقق من فرع الاستقبال,Demandez simplement à votre bénéficiaire d'obtenir l'ifsc de sa succursale. ils peuvent aussi le trouver dans leur carnet de chèques - l'ifsc est dans la feuille de chèques.,فقط أطلب من مستفيدك أن يحصل على الـ(فوكس) من فرعه يمكنهم أيضاً أن يجدوه في كتاب الشيكات
rtgs different national electronic fund transfer neft,"neft is an electronic fund transfer system that operates on a deferred net settlement (dns) basis, which settles transactions in batches. in dns, the settlement takes place at a definite time and all transactions are held up till that instant. any transaction initiated after a designated settlement time will have to wait till the next designated settlement time. rtgs is different because transactions are processed continuously. view more",fundstransfer,other,autres,أخرى,transfert de fonds,الأموال المنقولة,Transferts électroniques nationaux,rtgs different national electronic fund transfer neft,"neft est un système de transfert électronique de fonds qui fonctionne sur une base de règlement net différé (Dns), qui règle les transactions par lots. en dns, le règlement a lieu à un moment précis et toutes les transactions sont maintenues jusqu'à cet instant. toute transaction amorcée après un délai de règlement désigné devra attendre le prochain délai de règlement désigné. Les transactions sont traitées en continu. voir plus",والسرقة هي نظام إلكتروني لتحويل الأموال يعمل على أساس تسوية صافية مؤجلة، تسوي المعاملات في الخفافيش. وتتم التسوية في دنس، في وقت محدد، وتعقد جميع المعاملات حتى ذلك الحين. وسيتعين على أي معاملة تبدأ بعد وقت محدد للتسوية أن تنتظر حتى وقت التسوية التالي المحدد. rtgs مختلفة لأن المعاملات يتم تجهيزها باستمرار. مزيد من النظر
rtgs fund transfer,"'rtgs' stands for 'real time gross settlement'. the rtgs system is a funds transfer mechanism where transfer of money takes place from one bank to another on a 'real time' and on a 'gross' basis. this is the fastest possible money transfer system through banking channels. 'real time' means no waiting period; transactions are settled as soon as they are processed. 'gross settlement' means the transaction is finalized on its own, without it being bunched with any other transaction. view more",fundstransfer,other,autres,أخرى,transfert de fonds,الأموال المنقولة,Virement de fonds,تحويل الأموال,"'rtgs' signifie 'real time gross settlement'. le système rtgs est un mécanisme de transfert de fonds où le transfert de fonds a lieu d'une banque à l'autre en temps réel et sur une base «brute». c'est le système de transfert d'argent le plus rapide possible par les canaux bancaires. «temps réel»: pas de délai d'attente; les transactions sont réglées dès qu'elles sont traitées. « règlement brut » signifie que la transaction est finalisée toute seule, sans qu'elle soit confondue avec une autre transaction. voir plus","التفاهات ترمز للتسوية الحقيقية نظام التصنت هو آلية تحويل الأموال حيث يتم تحويل الأموال من بنك إلى آخر في ""الوقت الحقيقي"" وعلى أساس ""الزراعة"". هذا أسرع نظام ممكن لتحويل الأموال من خلال القنوات المصرفية الوقت الحقيقي لا يعني فترة انتظار، المعاملات يتم تسويتها بمجرد تجهيزها. ""التسوية الزراعية تعني أن الصفقة يتم الانتهاء منها من تلقاء نفسها، دون أن يتم حزمها مع أي صفقة أخرى. مزيد من النظر"
minimum maximum limit rtgs transfer,"the rtgs system has been designed for large value transactions. the minimum amount to be remitted through rtgs is rs. 2 lakhs. there is no upper ceiling for rtgs transactions. the only change to this is rtgs transactions done through netbanking, when the maximum amount of funds that can be transferred per customer id per day is rs. 10 lakhs. view more",fundstransfer,other,autres,أخرى,transfert de fonds,الأموال المنقولة,limite maximale minimale,الحد الأدنى للآداب,"le système rtgs a été conçu pour les transactions de grande valeur. le montant minimum à verser par rtgs est rs. 2 lakhs. il n'y a pas de plafond supérieur pour les opérations rtgs. la seule modification à cela est les opérations rtgs effectuées par le biais de la banque nette, lorsque le montant maximal de fonds qui peut être transféré par id client par jour est rs. 10 lakhs. voir plus",وقد صُمّم نظام التصنيفات من أجل المعاملات ذات القيمة الكبيرة. الحد الأدنى للمبلغ الذي يُعاد تسليمه من خلال حشرات هو rs. اثنين لاخ. ليس هناك سقف أعلى لمعاملات الخرق والتغيير الوحيد في هذا الصدد هو المعاملات التي تتم عن طريق المصارف الصافية، عندما يكون المبلغ الأقصى للأموال التي يمكن تحويلها إلى كل زبون في اليوم هو rs. عشرة لاكس مزيد من النظر
information need provide using rtgs fund transfer service,"when using rtgs funds transfers, there are a few essential details to provide: amount to be remitted account number from where the funds will be debited name of the beneficiary bank, and the name of the beneficiary customer account number of the beneficiary customer sender to receiver information, if there is one the ifsc code of the receiving branch view more",fundstransfer,other,autres,أخرى,transfert de fonds,الأموال المنقولة,les informations nécessaires à l'utilisation du service de transfert de fonds rtgs,توفير المعلومات باستخدام خدمات تحويل الأموال,"lors de l'utilisation des transferts de fonds rtgs, il y a quelques détails essentiels à fournir: le montant à remettre numéro de compte d'où les fonds seront débités nom de la banque bénéficiaire, et le nom du numéro de compte client bénéficiaire de l'expéditeur client bénéficiaire aux informations du destinataire, s'il y a un code ifsc de la succursale destinataire voir plus",عند استخدام تحويلات الأموال، هناك بضعة تفاصيل أساسية لتوفير ما يلي: المبلغ الذي سيعاد تحويله من الحساب الذي ستُخصم منه الأموال اسم المصرف المستفيد، واسم حساب العملاء المستفيد رقم مرسل العملاء المستفيد لتلقي المعلومات، إذا كان هناك رمز إذا كان الفرع المتلقي يرى أكثر
